Src-Tgt,NodeName,c_Index
27,SCN2A,14
28,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),15
29,CADPS2,15
30,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),16
31,COBLL1,16
32,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),17
33,TOX3,17
34,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),18
35,DCDC2,18
36,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),19
37,SLC14A2,19
38,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),20
39,ABTB2,20
40,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),21
41,MYO9A,21
42,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),22
43,LINC01320,22
44,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),23
45,FOXP2,23
46,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),24
47,PAX8,24
48,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),25
49,BICC1,25
50,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),26
51,OXR1,26
52,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),27
53,PKHD1,27
54,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),28
55,SLC12A3,28
56,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),29
57,CACNA1D,29
58,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),30
59,LINC01055,30
60,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),31
61,ARHGAP6,31
62,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),32
63,FGF13,32
64,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),33
65,TRPM6,33
66,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),34
67,TRPM7,34
68,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),35
69,ESRRG,35
70,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),36
71,ATP1A1,36
72,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),37
73,LINC01762,37
74,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),38
75,SHANK3,38
76,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),39
77,ADGRL4,39
78,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),40
79,EGFL7,40
80,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),41
81,TEK,41
82,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),42
83,PLVAP,42
84,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),43
85,CEACAM1,43
86,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),44
87,NOSTRIN,44
88,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),45
89,SLCO2A1,45
90,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),46
91,CALCRL,46
92,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),47
93,FLT1,47
94,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),48
95,FBLN5,48
96,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),49
97,SVEP1,49
98,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),50
99,CDH11,50
100,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),51
101,MOXD1,51
102,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),52
103,C7,52
104,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),53
105,PLCXD3,53
106,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),54
107,PLA2G4A,54
108,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),55
109,NID1,55
110,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),56
111,ATRNL1,56
112,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),57
113,SPON1,57
114,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),58
115,IKZF1,58
116,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),59
117,DOCK2,59
118,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),60
119,PTPRC,60
120,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),61
121,F13A1,61
122,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),62
123,FYB1,62
124,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),63
125,AOAH,63
126,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),64
127,INPP5D,64
128,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),65
129,MRC1,65
130,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),66
131,SMAP2,66
132,[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738),67
133,ATP8B4,67
134,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),68
135,LINC01187,68
136,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),69
137,SLC4A9,69
138,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),70
139,ATP6V1C2,70
140,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),71
141,GALNT17,71
142,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),72
143,KIT,72
144,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),73
145,IL18,73
146,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),74
147,CLNK,74
148,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),75
149,ATP6V0D2,75
150,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),76
151,RHCG,76
152,[renal intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005010),77
153,ITGA6,77
154,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),78
155,KRT13,78
156,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),79
157,EEF1A1,79
158,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),80
159,S100A6,80
160,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),81
161,EHF,81
162,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),82
163,AMBRA1,82
164,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),83
165,LCN2,83
166,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),84
167,SLPI,84
168,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),85
169,TACSTD2,85
170,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),86
171,RPL41,86
172,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),87
173,RPLP1,87
174,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),88
175,KCNT2,88
176,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),89
177,ALDH1A2,89
178,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),90
179,CFH,90
180,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),91
181,PAWR,91
182,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),92
183,FRMD4A,92
184,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),93
185,SLC4A11,93
186,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),94
187,LINC01435,94
188,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),95
189,PDE1A,95
190,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),96
191,RHEX,96
192,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),97
193,SYNE1,97
194,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),98
195,NPHS2,98
196,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),99
197,ADAMTS19,99
198,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),100
199,WT1,100
200,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),101
201,FMN2,101
202,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),102
203,NTNG1,102
204,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),103
205,PTPRQ,103
206,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),104
207,NPHS1,104
208,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),105
209,PTPRO,105
210,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),106
211,ZNF804A,106
212,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),107
213,ST6GALNAC3,107
214,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),108
215,KSR2,108
216,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),109
217,ABTB2,109
218,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),110
219,GRIP1,110
220,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),111
221,EYA4,111
222,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),112
223,GATA3,112
224,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),113
225,ANK3,113
226,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),114
227,PRKAG2,114
228,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),115
229,C11orf80,115
230,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),116
231,MECOM,116
232,[renal principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005009),117
233,PAPPA,117
234,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),118
235,LINC01020,118
236,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),119
237,PLG,119
238,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),120
239,AGXT2,120
240,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),121
241,ACMSD,121
242,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),122
243,SLC36A2,122
244,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),123
245,SLC13A1,123
246,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),124
247,CDH9,124
248,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),125
249,LINC02027,125
250,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),126
251,CUBN,126
252,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),127
253,RAB11FIP3,127
254,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),128
255,CDH19,128
256,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),129
257,NRXN1,129
258,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),130
259,NCAM1,130
260,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),131
261,PRIMA1,131
262,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),132
263,CADM2,132
264,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),133
265,ZNF536,133
266,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),134
267,ADGRB3,134
268,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),135
269,EPB41L2,135
270,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),136
271,STARD13,136
272,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),137
273,SCN7A,137
274,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),138
275,GP2,138
276,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),139
277,SLC12A1,139
278,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),140
279,CASR,140
280,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),141
281,CLCN5,141
282,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),142
283,PLCB1,142
284,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),143
285,CGNL1,143
286,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),144
287,ESRRB,144
288,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),145
289,UMOD,145
290,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),146
291,PKP4,146
292,[kidney loop of Henle thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001106),147
293,CACNA2D3,147
294,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),148
295,PDGFRB,148
296,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),149
297,CARMN,149
298,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),150
299,NTRK3,150
300,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),151
301,CACNA1C,151
302,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),152
303,MYH11,152
304,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),153
305,ADGRL3,153
306,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),154
307,COL25A1,154
308,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),155
309,PRKG1,155
310,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),156
311,DLC1,156
312,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),157
313,PRR16,157
314,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),158
315,VEGFC,158
316,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),159
317,ADGRL4,159
318,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),160
319,CCDC3,160
320,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),161
321,CD34,161
322,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),162
323,ADAMTS6,162
324,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),163
325,PALMD,163
326,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),164
327,CDH13,164
328,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),165
329,CHRM3,165
330,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),166
331,GFOD1,166
332,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),167
333,HEG1,167
334,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),168
335,SH3GL3,168
336,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),169
337,COBLL1,169
338,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),170
339,BICDL1,170
340,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),171
341,LGR4,171
342,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),172
343,PATJ,172
344,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),173
345,BICC1,173
346,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),174
347,CACNA2D3,174
348,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),175
349,PKHD1,175
350,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),176
351,PAX8,176
352,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),177
353,PLCB1,177
354,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),178
355,RAMP3,178
356,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),179
357,TLL1,179
358,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),180
359,PLVAP,180
360,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),181
361,CEACAM1,181
362,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),182
363,TEK,182
364,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),183
365,PLAT,183
366,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),184
367,ADGRL4,184
368,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),185
369,LIMS2,185
370,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),186
371,LINC02147,186
372,[vasa recta ascending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131),187
373,GPM6A,187
374,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",188
375,FCRL1,188
376,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",189
377,MS4A1,189
378,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",190
379,PAX5,190
380,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",191
381,IGHM,191
382,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",192
383,ARHGAP24,192
384,"[mature B cell](href=""http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)",193
385,MARCH1,193
